epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,10814.3,0.95196,3.3671,1.44051,0.84203,0.79984,0.84833,0.65428,1.05157,3.01369,1.70688,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
66,10966.8,0.95694,3.33458,1.44371,0.87324,0.79265,0.85713,0.65943,1.04036,3.02215,1.72183,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
67,11118.1,0.94471,3.29408,1.42932,0.85424,0.82902,0.85896,0.63953,1.06052,2.91202,1.73048,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
68,11271,0.94011,3.2762,1.42914,0.84493,0.80813,0.8513,0.64973,1.052,3.06271,1.73297,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079
69,11422.6,0.94591,3.29524,1.44455,0.83403,0.82241,0.85583,0.65694,1.05673,2.96323,1.7314,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
70,11574.3,0.93844,3.25111,1.42276,0.83727,0.82268,0.85514,0.66265,1.01803,3.02318,1.71999,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
71,11726.2,0.95859,3.30797,1.44208,0.83825,0.80516,0.85192,0.65137,1.03682,3.17136,1.73808,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
72,11877.9,0.94367,3.26216,1.43656,0.86314,0.79149,0.84054,0.64762,1.04486,3.10384,1.73036,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368,0.026081,0.00869368
73,12030.2,0.94194,3.29233,1.44046,0.89585,0.76971,0.85928,0.65003,1.05521,3.02969,1.74674,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
74,12181.7,0.93538,3.22185,1.4263,0.8295,0.82719,0.84564,0.66247,1.02274,2.95295,1.69532,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271,0.0258681,0.00862271
75,12334.5,0.92198,3.20859,1.41671,0.88541,0.77961,0.84971,0.64718,1.04765,3.06555,1.72464,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
76,12486.3,0.92372,3.16707,1.4175,0.86751,0.81192,0.85668,0.65775,1.03388,3.07628,1.72298,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
77,12638.1,0.93145,3.12483,1.41737,0.88681,0.77268,0.83978,0.64466,1.05605,3.19208,1.75733,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
78,12790.3,0.9171,3.14368,1.41175,0.87519,0.8013,0.85502,0.6529,1.04733,3.04589,1.72071,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611,0.0254283,0.00847611
79,12942.3,0.92071,3.12211,1.41419,0.86309,0.80995,0.86313,0.65945,1.05147,3.0599,1.72036,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
80,13095.2,0.91151,3.11316,1.40509,0.88832,0.80207,0.86734,0.66904,1.02629,2.94762,1.71602,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054,0.0252016,0.00840054
81,13247,0.91416,3.07352,1.40391,0.85279,0.81779,0.87039,0.67129,1.04075,2.93,1.71813,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
82,13400.5,0.89874,3.06865,1.39404,0.87707,0.80895,0.86329,0.66664,1.02707,2.95299,1.69306,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
83,13552.4,0.90346,3.02008,1.39874,0.87724,0.79918,0.86282,0.67665,1.01425,3.04729,1.70005,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
84,13704.6,0.90909,3.05967,1.4028,0.87535,0.8049,0.85177,0.67181,1.00219,3.01458,1.68912,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502,0.024735,0.00824502
85,13856.7,0.90144,3.04042,1.40003,0.8482,0.79858,0.85978,0.66622,0.99806,2.96167,1.69207,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
